Row Labels,Count of ID,Population
AL,201,3086260
AR,111,2003174
AZ,328,5728859
CA,4488,33000955
CO,26,4299942
CT,131,3604458
DC,60,689545
DE,12,279890
FL,2883,10832913
GA,335,4748764
IA,114,2564242
ID,79,1300242
IL,101,11170271
IN,149,4558160
KS,103,2444022
KY,8,2516434
LA,426,2161255
MA,17,7029917
MD,485,1555037
MI,266,7270059
MN,549,4748703
MO,230,4096722
MS,34,1498127
MT,115,587435
NC,610,6017700
ND,24,603660
NE,18,1533672
NJ,233,9288994
NM,18,1427552
NV,18,1767501
NY,711,13011280
OH,89,7666914
OR,734,2989700
PA,1110,5675852
RI,6,1097379
SC,898,1885431
TN,355,4184621
TX,1257,21096801
UT,137,3059480
VA,744,3117984
WA,130,5036435
WI,2,4272398
WV,42,617781
