City,Accidents,Population
Aiken,13,32025
Anderson,26,28106
Awendaw,2,1399
Aynor,4,974
Barnwell,1,4652
Beaufort,6,13607
Belton,5,4335
Bennettsville,3,7020
Bethune,1,315
Bishopville,5,3024
Blackville,2,1923
Blenheim,1,115
Bluffton,3,27716
Blythewood,2,4772
Bonneau,3,431
Bowman,2,788
Calhoun Falls,2,1727
Camden,7,7788
Campobello,4,675
Cayce,2,13781
Central,1,5247
Chapin,5,1809
Charleston,3,150227
Chesnee,3,829
Chester,3,5269
Clemson,2,17681
Clinton,2,7633
Clover,4,6671
Columbia,89,136632
Conway,15,24849
Cope,1,37
Cordova,1,136
Coward,1,748
Cowpens,9,2023
Darlington,8,6149
Denmark,1,3186
Dillon,4,6384
Donalds,2,328
Duncan,3,4041
Easley,6,22921
Ehrhardt,2,457
Elgin,2,1634
Elloree,2,570
Florence,52,39899
Fort Mill,4,24521
Fountain Inn,6,10416
Gaston,2,1608
Goose Creek,4,45946
Gray Court,1,763
Greenville,55,70720
Greenwood,6,22545
Greer,15,35308
Hardeeville,6,7473
Harleyville,1,666
Hartsville,9,7446
Heath Springs,2,742
Hodges,1,162
Holly Hill,2,1298
Honea Path,3,3686
Inman,5,2990
Irmo,2,11569
Iva,2,1015
Johnsonville,4,1378
Kershaw,1,1693
Lake City,4,5903
Lake View,1,764
Lancaster,8,8460
Landrum,2,2481
Laurens,7,9335
Lexington,9,23568
Liberty,6,3366
Livingston,1,132
Loris,9,2449
Lyman,3,6173
Manning,2,3878
Marion,4,6448
Moncks Corner,4,13297
Mount Pleasant,2,90801
Mullins,3,4026
Myrtle Beach,35,35682
New Ellenton,1,2210
Newberry,1,10691
North,3,696
North Augusta,9,24379
North Charleston,15,114852
Norway,3,289
Olanta,2,550
Olar,1,215
Orangeburg,13,13240
Pelion,1,631
Pelzer,1,1344
Pendleton,2,3489
Pickens,3,3388
Ravenel,1,2542
Richburg,1,280
Ridgeland,9,3758
Rock Hill,8,74372
Salem,1,120
Salley,2,329
Santee,2,797
Scranton,1,648
Seneca,9,8850
Sharon,1,462
Simpsonville,12,23354
Six Mile,1,759
Smoaks,1,98
Spartanburg,31,38732
Summerville,18,50915
Sumter,13,43463
Swansea,5,722
Timmonsville,3,2099
Travelers Rest,1,7788
Trenton,2,200
Wagener,1,631
Walhalla,5,4072
Walterboro,9,5544
Ware Shoals,1,1701
Waterloo,5,149
Wellford,1,3293
West Columbia,11,17416
Westminster,5,2353
Williamston,6,4043
Windsor,1,115
Winnsboro,5,3215
Woodruff,5,4212
Yemassee,14,1080
York,5,8503
